Date,Open_BTC,High_BTC,Low_BTC,Close_BTC,CCI_BTC,Volume_BTC,EWMA_10_BTC,EWMA_20_BTC,EWMA_50_BTC,EWMA_100_BTC,rsi_14_BTC,Momentum(10)_BTC,MACD_BTC,MA_(10)_BTC,MA_(20)_BTC,MA_(50)_BTC,MA_(100)_BTC,ADX_BTC,+DMI_BTC,-DMI_BTC,Stochastic(3)_BTC,Stochastic(14)_BTC,Williams Percent Range (14)_BTC,log_Low_diff_BTC,log_Volume_diff_BTC,log_High_diff_BTC,log_Open_diff_BTC,log_Close_diff_BTC,Open_GOLD,High_GOLD,Low_GOLD,Close_GOLD,CCI_GOLD,Volume_GOLD,EWMA_10_GOLD,EWMA_20_GOLD,EWMA_50_GOLD,EWMA_100_GOLD,rsi_14_GOLD,Momentum(10)_GOLD,MACD_GOLD,MA_(10)_GOLD,MA_(20)_GOLD,MA_(50)_GOLD,MA_(100)_GOLD,ADX_GOLD,+DMI_GOLD,-DMI_GOLD,Stochastic(3)_GOLD,Stochastic(14)_GOLD,Williams Percent Range (14)_GOLD,log_Low_diff_GOLD,log_Volume_diff_GOLD,log_High_diff_GOLD,log_Open_diff_GOLD,log_Close_diff_GOLD
2016-01-01,430.72100830078125,436.2460021972656,427.5150146484375,434.3340148925781,,36278900,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,1063.4000244140625,1082.5,1075.0999755859375,1075.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-02,434.62200927734375,436.06201171875,431.8699951171875,433.43798828125,,30096600,,,,,,,-0.07147790631677253,,,,,,0.0,0.0,,,,0.010135195979981582,-0.1868240964877934,-0.0004218475086981144,0.00901614116847238,-0.0020651206226824925,1063.4000244140625,1082.5,1075.0999755859375,1075.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-03,433.5780029296875,433.7430114746094,424.70599365234375,430.010986328125,,39633800,,,,,,,-0.4000436251183146,,,,,100.0,0.0,6.054507144419754,,,,-0.016727455831755833,0.2752700809957105,-0.005332242691047817,-0.002404991559979308,-0.007937979079086332,1063.4000244140625,1082.5,1075.0999755859375,1075.0999755859375,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-04,430.0610046386719,434.5169982910156,429.0840148925781,433.09100341796875,,38477500,,,,,,,-0.4072086383785063,,,,,98.51110332280739,0.671244240100655,5.769231836513495,,,,0.010255588771592272,-0.029608634687839697,0.0017828461813591545,-0.008144647710283337,0.007137117514958824,1063.4000244140625,1082.5,1075.0999755859375,1075.0999755859375,,143.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,
2016-01-05,433.0690002441406,434.1820068359375,429.6759948730469,431.9599914550781,,34522600,,,,,,,-0.49840487499949404,,,,,97.1285564082714,0.6441359831662677,5.53624090773502,,,,0.00137868570381805,-0.10845947283720037,-0.0007712486596762602,0.006969999342009814,-0.002614903893656262,1075.5999755859375,1081.5,1078.4000244140625,1078.4000244140625,,82.0,,,,,,,0.26325175836905146,,,,,,0.0,0.0,,,,0.011316555331910116,-0.5561253829956536,-0.000924214483531749,0.011407277667890625,0.0030648260146568518
2016-01-06,431.8559875488281,431.8559875488281,426.34100341796875,429.1050109863281,,34042500,,,,,,,-0.7919228200017869,,,,,96.35465461181188,0.6109990720892525,8.304745968787913,,,,-0.007791920803247976,-0.014004438018176302,-0.0053716462677497745,-0.002804898708464343,-0.006631301754832286,1081.5999755859375,1093.699951171875,1091.9000244140625,1091.9000244140625,,52.0,,,,,,,1.543426192893321,,,,,100.0,4.798936651880906,0.0,,,,0.005841665911207272,-0.4554755286828258,0.01121743230316774,0.0055627810199041505,0.012440836582072734
2016-01-07,430.010986328125,458.7659912109375,429.0769958496094,458.0480041503906,,87562200,,,,,,,1.2959804990812245,,,,,93.26818755345562,20.996993964590157,6.424228007426082,,,,0.006396876763684389,0.9447396539505668,0.060448086475617835,-0.004281412549591579,0.06527232134918748,1091.5999755859375,1109.4000244140625,1107.699951171875,1107.699951171875,,122.0,,,,,,,3.7892159762020583,,,,,100.0,10.646910708712516,0.0,,,,0.009203083752264085,0.8527773261518292,0.014252951931399416,0.009203083752264085,0.014366429062977915
2016-01-08,457.5379943847656,462.9339904785156,447.93798828125,453.2300109863281,,56993000,,,,,,,2.5326918442600572,,,,,90.77365217952818,21.742397103757686,5.719713290227838,,,,0.04301842349034857,-0.4294209446915538,0.009044217774689223,0.06204917114133579,-0.010574244034119218,1111.0999755859375,1111.0999755859375,1097.800048828125,1097.800048828125,,98.0,,,,,,,4.715820138253548,,,,,100.0,10.557426841566059,0.0,,,,0.0012817217077483178,-0.21905356606268445,0.0015311429894069306,0.017706006148296538,-0.008977527848297306
2016-01-09,453.38299560546875,454.6400146484375,446.8890075683594,447.6109924316406,,32278000,,,,,,,3.024521852852331,,,,,88.12699268866791,20.49153092304132,6.169248452081868,,,,-0.002344545254596042,-0.5685425696619753,-0.018078545552685732,-0.00912269591121806,-0.012475212401744429,1111.0999755859375,1111.0999755859375,1097.800048828125,1097.800048828125,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-10,448.2380065917969,448.3089904785156,440.35101318359375,447.9909973144531,,35995900,443.85589259597606,,,,,,3.405705048493928,439.88190002441405,,,,83.86981939822324,19.266000119942923,10.713794137750709,,,,-0.014738092455948149,0.10901915946775631,-0.014023223645444283,-0.01141287713394945,0.0008486021915263819,1111.0999755859375,1111.0999755859375,1097.800048828125,1097.800048828125,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-11,448.697998046875,450.6619873046875,443.8550109863281,448.4280090332031,,40450000,444.7899188237682,,,,,14.093994140625,3.7004027314923746,441.2912994384766,,,,80.22165602689874,20.064965370557744,10.154372642089758,,,,0.007925791161392581,0.11666160042311446,0.005234879117954172,0.0010256952403002728,0.0009750167059738857,1105.699951171875,1107.9000244140625,1096.5,1096.5,,43.0,,,,,,,5.284342921226653,,,,,100.0,10.070356119947592,0.0,,,,0.003197079681403814,-0.8237673629770099,-0.0028841400541192996,-0.004871919229105792,-0.0011849327360060613
2016-01-12,448.1820068359375,448.1820068359375,435.69000244140625,435.69000244140625,,115607000,442.97177218526747,,,,,2.25201416015625,2.8729841198920667,441.51650085449216,,,,75.1032424010318,18.1546079071003,15.29042071789478,,,,-0.01856697037860844,1.0501298645336945,-0.005518169510847493,-0.001150636127593252,-0.028817166747445278,1093.800048828125,1098.5,1085.5999755859375,1085.5999755859375,,87.0,,,,,,,4.8000287048137125,,,,,94.98484795661065,9.471788992207648,5.124010893530217,,,,-0.011465385858350885,0.7047080029610213,-0.008520740738302557,-0.010820657834493375,-0.009990481826287478
2016-01-13,434.6650085449219,435.1860046386719,424.4429931640625,432.3710021972656,,173888000,440.89116699945623,,,,,2.360015869140625,1.9272175628961463,441.75250244140625,,,,70.77892183244272,16.64749628470867,22.322618390092096,,,,-0.026153281879779833,0.40821490576568564,-0.02942587860468393,-0.03062377605644162,-0.007646965823602692,1081.5,1093.9000244140625,1087.5,1087.5,,50.0,,,,,,,4.517447961967264,,,,,89.67622239659656,8.98020953560718,5.904433487753495,,,,-0.0023089366064787953,-0.5538851132264377,-0.004196298380552577,-0.01130895016037492,0.0017486769311840789
